name,description,credits
PSYC-385,Educational Psychology,4
PSYC-387,Environmental Psychology,0.5
PSYC-392,Psychology and Education of the Gifted,4
PSYC-395,Coaching Psychology,4
PSYC-397,"Developmental Disabilities: Issues, Concepts and Problem Solving",4
PSYC-399,Applied Psychology Research Internship,4
PSYC-405,History and Systems of Psychology,4
PSYC-406,Introduction to Clinical Psychology,4
PSYC-407,Professional and Career Applications of Psychology,4
PSYC-408,Application of Knowledge in Psychology,4
PSYC-415,Principles of Teaching and Learning in Early Childhood,4
PSYC-417,Language and Communication Development in Early Childhood Education,4
PSYC-421,Children and Nature,4
PSYC-425,Administration of Early Childhood Programs I,4
PSYC-508,Mental Health and the Law,4
PSYC-560,Update on Adult Psychiatric Medications: What Therapists Need to Know,4
RDNG-112,The Educated Reader: Analytical Reading,4
RELS-301,Introduction to Religious Studies,3
RELS-304,Introduction to World Religions,4
RELS-306,The Spiritual Journey,4
RELS-308,World of Islam,4
RELS-312,Religious Traditions of China,4
RMI-300,Risk Management and Insurance,4
SCED-440,Science Curriculum and Differentiated Instruction in Urban Grades K-6,4
SCED-450,Science Methods for Urban Grades 5-12 Classrooms and Lab,4
SCRW-313,Beginning Screenwriting,1
SCRW-314,New Screenplay Forms,4
SCRW-315,Film Production and Editing I,4
SCRW-350I,Screenwriting Individual Internship,4
SCRW-360I,Structured Game Development II,4
SCRW-383,Writing For Video Games,4
SCRW-416,Projects in Screenwriting,4
SOC-101,Introduction to Sociology,4
SOC-301,Contemporary Sociology,4
SOC-302,Interpersonal and Social Power: A View from Below,1
SOC-303,Ethnic Conflict in Global Perspective,1
SOC-304,Social Movements in Global Perspective,3
SOC-306,Deviance and Social Control,4
SOC-309,Homelessness: Critical Issues for Policy and Practice,4
SOC-329,Race and Ethnicity: Sociological and Anthropological Perspectives,4
SOC-360I,Writing in Social Science,3
SOC-381,Community Leadership: Principles and Approaches,1
SOWK-109,Introduction to Social Work,3
SOWK-165I,Field Experience in Social Work,5
SOWK-321,Social Work Practice I,5
SOWK-333,Human Behavior in the Social Environment,4
SOWK-341,Comparative Racial/Ethnic Analysis I,4
SOWK-351,Social Research,4
SOWK-360,Social Welfare History and Policy,4
SOWK-365I,Human Behavior in the Social Environment,3
SOWK-381,Community Learning Center Seminar,4
SOWK-391,Community Learning Center Practicum,4
SOWK-522,Social Work Practice II,4
SOWK-542,Comparative Racial/Ethnic Analysis II,4
SOWK-552,Community Research and Advocacy,1
SOWK-582,Social Work Capstone Seminar,5
SOWK-583,Analysis Application of Social Work Knowledge and Skills,4
SOWK-584,Multicultural Child Welfare Field Seminar,3
SOWK-591,Social Work Senior Practicum,4
SOWK-592,Multicultural Child Welfare Senior Practicum,4
SPAN-101,Beginning Spanish I,4
SPAN-102,Beginning Spanish II,4
SPAN-201,Intermediate Spanish I,4
SPAN-202,Intermediate Spanish II,2
SPED-606,Characteristics of Diverse Urban Learners with Mild/Moderate Disabilities,4
SPED-609,Interventions: Mild Disabilities,4
SPED-650,Advanced Urban Special Education Teaching Practicum,4
SSCI-100,Intro to Social Science: Learning Community: Connect. Explore. Decide.,4
SSCI-300,Seeing Like a Social Scientist,1
SSCI-311,Research Methods in Social Science,4
SSCI-360I,Hannah's Arendt's Political Theory,1
SSCI-451,Empirical Research Capstone,0
SSCI-501,Great Ideas: Classics of Social Science,0
SSED-440,Social Studies Curriculum and Differentiated Methods in Urban Grades K-6,4
SSED-450,Teaching Social Studies in Urban Grades 5-12,5
STAT-201,Statistics I,3
STAT-311,Regression Analysis,3
STAT-411,Time Series Analysis and Forecasting,3
STAT-621,Advanced Biostatistics in Health Research,3
STAT-660I,Text Analysis using R and Python,3
THEA-321,Directed Readings in Theater,2
THEA-331,Voice: Speaking from Experience,4
THEA-345,Acting III,2
THEA-350I,Theater Individual Internship,2
THEA-351,Production and Performance Laboratory,1
THEA-400,Playwriting I,4
THEA-441,Career and Portfolio Seminar,4
THEA-540,Directing and Creating Theater,2
UMET-100,University Topics: Epidemiology in Society,4
WKSP-002,Online Orientation for New Students,4
WKSP-GRAD,Graduation Requirements,4
WRIT-101,Intro to College Writing: Learning Community: Connect. Explore. Decide.,4
WRIT-121,Writing I Intensive: Learning Community,4
WRIT-131,Writing I,4
WRIT-231,Writing II,4
WRIT-251,Introduction to Creative Writing,4
WRIT-261,Business Writing,5
WRIT-271,Technical Writing,4
WRIT-280,Digital Tools for Writing and Communication,4
WRIT-300,"Creative Writers, Identity and Race in the Twin Cities",4
WRIT-301,Professional and Technical Writing Careers,4
WRIT-302,Content Strategy,4
WRIT-330,APA Documentation Basics,4
WRIT-331,Writing in Your Major: Focus on Nursing,1
WRIT-344,Writing for Publication and Profit,4
WRIT-350I,Professional Writing Internship,4
WRIT-353,Writing Short Fiction,4
WRIT-355,Writing Children's Literature,
WRIT-357,Writers as Readers,
WRIT-358,1000 Words or Less,
WRIT-371,Editing,
WRIT-373,Writing and Designing for the Web I,
WRIT-375,Environmental Communication,
WRIT-461,Writing and Technical Communication Capstone,
WRIT-481,Advanced Creative Writing,
WRIT-532,Writing about Place,
WRIT-532G,Writing about Place,
WRIT-574,Usability and User Experience,
WRIT-574G,Usability and User Experience,
WRIT-583,Writing Major Projects,
WRIT-583G,Writing Major Projects,
WRIT-660I,Topics in Stochastic Processes,
WRIT-671,Technical Communication Theory and Research Seminar,
WRIT-673,Technical Communication in International Contexts,
WRIT-676,Advanced Writing and Designing for the Web,
