Sub/Nr,Title,Cr,FilterSubject,GELS
EDU-300 -01 000006,Assessment of Learning and Teaching in Urban Grades 5-12,3,EDU-Education,
EDU-306 -01 000007,Urban Middle School and High School Methods,4,EDU-Education,
EDU-310 -50 000008,Teaching and Assessing Students with Disabilities in Urban 5-12 Classrooms,3,EDU-Education,
EDU-311 -01 000009,Urban Teaching Practicum and Seminar,0,EDU-Education,
EDU-311 -02 000010,Urban Teaching Practicum and Seminar,0,EDU-Education,
EDU-321 -01 000011,Urban Infant-Toddler Curriculum and Practicum,4,EDU-Education,
EDU-323 -01 000749,Urban Pre-K and Kindergarten Curriculum and Practicum,4,EDU-Education,
EDU-323 -02 000012,Urban Pre-K and Kindergarten Curriculum and Practicum,4,EDU-Education,
EDU-330 -01 000013,Teaching Children's Literature in Urban Grades K-6,3,EDU-Education,
EDU-331 -01 000014,"Physical Development, Health, Nutrition, Effects of Drugs in Birth-Grade 6",3,EDU-Education,
EDU-333 -01 000015,Assessment of Learning in Urban Grades K-6,3,EDU-Education,
EDU-341 -01 000016,The Child and the Family in an Urban Setting,2,EDU-Education,
EDU-345 -01 000017,Integrated Classroom Management Methods in Urban Grades K-6,3,EDU-Education,
EDU-361 -01 000748,The Arts in Early Childhood and Elementary Education,3,EDU-Education,
EDU-383 -01 000018,Information Technology for K-12 Education,2,EDU-Education,
EDU-400 -01 000019,Literacy Education in Urban Schools,3,EDU-Education,
EDU-430 -01 000020,Historical and Cultural Foundations of Urban Education,3,EDU-Education,
EDU-435 -01 000021,Teaching and Assessing English Language Learners,3,EDU-Education,
EDU-450 -01 000022,Advanced Urban Teaching Practicum and Seminar,0,EDU-Education,
EDU-450 -02 000023,Advanced Urban Teaching Practicum and Seminar,0,EDU-Education,
EDU-451 -01 000024,Immigrants and Refugees in Urban Schools,3,EDU-Education,Minnesota Transfer Curriculum/GELS Goals: Human Diversity (07 HUMD)
EDU-452 -01 000025,Theories and Methods of Language Learning,3,EDU-Education,
EDU-456 -01 000026,Elementary ESL Practicum,1,EDU-Education,
EDU-457 -01 000027,Middle School ESL Practicum,1,EDU-Education,
EDU-458 -01 000028,High School ESL Practicum,1,EDU-Education,
EDU-460 -01 000029,Student Teaching in the Urban Middle School (grades 5-8),8,EDU-Education,
EDU-470 -01 000030,Student Teaching in the Urban High School (grades 9-12),8,EDU-Education,
EDU-475 -01 000031,Student Teaching in the Urban Infant-Toddler Classroom,,EDU-Education,
EDU-481 -01 000032,Urban Grades 1-6 Curriculum and Practicum,4,EDU-Education,
EDU-483 -01 000033,Foundations of Teaching Reading in Urban Grades K-6,3,EDU-Education,
EDU-484 -01 000034,Teaching and Assessing Children with Disabilities Birth-Grade 6,3,EDU-Education,
EDU-485 -01 000035,Student Teaching in the Urban PreK-Kindergarten Classroom,,EDU-Education,
EDU-486 -01 000036,Teaching Math and Science In Urban Grades 1-3,4,EDU-Education,
EDU-487 -01 000037,Methods of Teaching Reading in Urban Grades K-6,3,EDU-Education,
EDU-490 -01 000038,Student Teaching in the Urban Primary Grades 1-3,,EDU-Education,
EDU-495 -01 000039,Student Teaching in the Urban Elementary School K-6,8,EDU-Education,
EDU-600 -01 000040,Principles of Urban Education,4,EDU-Education,
EDU-602 -01 000041,Assessing Learning in Urban Grades 5-12 - Advanced Theory and Practice,3,EDU-Education,
EDU-606 -01 000042,Urban Middle School &amp; High School Methods -Advanced Theory and Practice,4,EDU-Education,
EDU-610 -50 000043,Teaching &amp; Assessing Exceptional Urban Learners-Advanced Theory &amp; Practice,3,EDU-Education,
EDU-614 -01 000044,Literacy Education in Urban Schools - Advanced Theory and Practice,3,EDU-Education,
EDU-630 -01 000045,"Historical, Cultural, and Philosophical Foundations of Urban Education",3,EDU-Education,
EDU-635 -01 000046,Teaching Assessing ELL Students in Content-Advanced Theory and Practice,3,EDU-Education,
EDU-650 -01 000047,Student Teaching in the Urban School,,EDU-Education,
EDU-651 -01 000048,Immigrants and Refugees in Urban Schools,3,EDU-Education,
EDU-652 -01 000049,Theories and Methods of Language Learning,3,EDU-Education,
EDU-656 -01 000050,Elementary ESL Practicum,1,EDU-Education,
EDU-657 -01 000051,Middle School ESL Practicum,1,EDU-Education,
EDU-658 -01 000052,High School ESL Practicum,1,EDU-Education,
EDU-660I -01 001327,Absent Narratives in Social Studies Secondary Curriculum,2,EDU-Education,
EDU-692 -01 001334,Early Career Teacher Seminar,3,EDU-Education,
EDU-698 -01 000053,"Capstone: Conducting Research in Urban Classrooms, Schools and Communities",4,EDU-Education,
ENTR-300 -50 000471,Interdisciplinary Business Skills and Knowledge for Non-Business Majors,4,ENTR-Entrepreneurship,
ENTR-365I -02 001367,Entrepreneurship &amp; Business Creation,4,ENTR-Entrepreneurship,
ENTR-400 -01 001168,Innovative Mindset in a Diverse Economy,4,ENTR-Entrepreneurship,
ENTR-493 -50 000475,Finance for Entrepreneurs,2,ENTR-Entrepreneurship,
ENTR-495 -01 000476,Developing New Products and Services,2,ENTR-Entrepreneurship,
ENTR-496 -50 000477,Writing a Marketing Plan,2,ENTR-Entrepreneurship,
ESCI-320 -01 000416,Ecosystem and Global Ecology,5,ESCI-Environmental Science,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)|People/Environment (10 ENVI)
ESCI-469 -01 001093,Seminars in Environmental Science,1,ESCI-Environmental Science,
ETHS-100 -01 001210,Introduction to Ethnic Studies,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Human Diversity (07 HUMD)
ETHS-200 -22 001368,"Theories of Race, Ethnicity and Culture",4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Human Diversity (07 HUMD)
ETHS-200 -50 001212,"Theories of Race, Ethnicity and Culture",4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Human Diversity (07 HUMD)
ETHS-232 -01 000936,American Indians in Minnesota,2,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Human Diversity (07 HUMD)
ETHS-244 -01 000949,African Americans in Minnesota,2,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Human Diversity (07 HUMD)
ETHS-250 -21 001214,Latino/Hispanic Cultural Competency: Introductory Concepts,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Human Diversity (07 HUMD)
ETHS-302 -01 000937,Immigrant Communities and the Trajectories of Othering,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Human Diversity (07 HUMD)
ETHS-304 -01 000962,Environmental Justice and Public Policy,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ETHS-304 -21 000951,Environmental Justice and Public Policy,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ETHS-304 -50 000938,Environmental Justice and Public Policy,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ETHS-304 -51 000943,Environmental Justice and Public Policy,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ETHS-304 -52 000950,Environmental Justice and Public Policy,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ETHS-304 -53 001216,Environmental Justice and Public Policy,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ETHS-305 -50 000939,Major Issues in U.S. Race Relations,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
ETHS-306 -01 000952,Politics of Mixed Racial Identity,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
ETHS-309 -01 000940,Race and Public Policy,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Ethical/Civic Resp (09 ETHI)
ETHS-311 -50 000941,Understanding Racial and Ethnic Groups in the United States,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Human Diversity (07 HUMD)
ETHS-311 -51 000956,Understanding Racial and Ethnic Groups in the United States,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Human Diversity (07 HUMD)
ETHS-315 -01 000955,Color of Incarceration,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Human Diversity (07 HUMD)
ETHS-318 -50 000963,"Trauma and Traumascapes: Identity, Legacy, and Memory",4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
ETHS-324 -50 000953,"Race, Identity, and the Internet",4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
ETHS-370 -01 001213,Black Thought,4,ETHS-Ethnic Studies,Minnesota Transfer Curriculum/GELS Goals: Human Diversity (07 HUMD)
ETHS-400 -21 000942,Applied Research for Social Change,4,ETHS-Ethnic Studies,
FIN-390 -01 000478,Principles of Finance,4,FIN-Finance,
FIN-390 -02 000479,Principles of Finance,4,FIN-Finance,
FIN-390 -03 000480,Principles of Finance,4,FIN-Finance,
FIN-390 -04 000481,Principles of Finance,4,FIN-Finance,
FIN-390 -50 000483,Principles of Finance,4,FIN-Finance,
FIN-390 -51 000484,Principles of Finance,4,FIN-Finance,
FIN-390 -52 000485,Principles of Finance,4,FIN-Finance,
FIN-390 -53 000486,Principles of Finance,4,FIN-Finance,
FIN-390 -54 000487,Principles of Finance,4,FIN-Finance,
FIN-390 -55 000488,Principles of Finance,4,FIN-Finance,
FIN-392 -50 000489,Corporate Finance,4,FIN-Finance,
FIN-395 -01 000490,Principles of Real Estate,4,FIN-Finance,
FIN-511 -01 000491,Investment and Portfolio Analysis,4,FIN-Finance,
FIN-511G -01 000492,Investment and Portfolio Analysis,4,FIN-Finance,
FIN-595 -50 000493,Advanced Corporate Finance,4,FIN-Finance,
FIN-595G -21 000495,Advanced Corporate Finance,4,FIN-Finance,
FIN-601 -01 000494,Financial Management,4,FIN-Finance,
GEOG-201 -01 000990,Introduction to Geography,3,GEOG-Geography,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
GEOG-201 -50 000991,Introduction to Geography,3,GEOG-Geography,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
GEOL-118 -01 000417,Environmental Geology,4,GEOL-Geology,Minnesota Transfer Curriculum/GELS Goals: Natural Science (03 NSCI)|People/Environment (10 ENVI)
GEOL-314 -01 000418,Earth Surface Environments,5,GEOL-Geology,Minnesota Transfer Curriculum/GELS Goals: People/Environment (10 ENVI)
GNDR-201 -01 000975,Introduction to Gender and Women's Studies,4,GNDR-Gender Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
GNDR-270 -01 000976,"Gender, Race and Popular Culture",3,GNDR-Gender Studies,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Human Diversity (07 HUMD)
GNDR-365 -01 000977,The Cultural Politics of LGBT Sexuality,4,GNDR-Gender Studies,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Human Diversity (07 HUMD)
GNDR-367 -01 000978,Transgender Identities,4,GNDR-Gender Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
GNDR-375 -50 000979,Intersectionality,4,GNDR-Gender Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
HIST-101 -01 001067,The American Past: To 1865,3,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HIST-101 -50 001209,The American Past: To 1865,3,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HIST-103 -01 001068,World History I: Patterns of Civilization to 1500,3,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HIST-103 -50 001211,World History I: Patterns of Civilization to 1500,3,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HIST-301 -01 001069,Historical Interpretation,4,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HIST-305 -50 001070,U.S. Economic Life: Technology,4,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HIST-309 -50 001114,Women and Public Activism,4,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Ethical/Civic Resp (09 ETHI)
HIST-312 -01 001072,Beginnings of American Society: Colonial and Revolutionary History,4,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
HIST-315 -01 001071,The Civil Rights Movement in the 1960s,4,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
HIST-336 -01 001074,"From Roosevelt to Reagan: American History, 1932-1980",4,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
HIST-336 -50 001208,"From Roosevelt to Reagan: American History, 1932-1980",4,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
HIST-348 -50 001075,U.S. Legal History: A Survey,4,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Ethical/Civic Resp (09 ETHI)
HIST-363 -01 001076,World Environmental History,4,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
HIST-383 -01 001173,Latin America History II: 1910 to Present,4,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HIST-391 -01 001077,The Crusades: Origins and Global Perspectives,4,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HIST-394 -01 001078,Comparative Women's History,4,HIST-History,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Global Perspective (08 GLOB)
HIST-401 -01 001080,Topics Proseminar,4,HIST-History,
HRM-310 -01 000496,Human Resource Management: A Strategic Framework,4,HRM-Human Resource Management,
HRM-310 -50 000497,Human Resource Management: A Strategic Framework,4,HRM-Human Resource Management,
HRM-310 -51 000498,Human Resource Management: A Strategic Framework,4,HRM-Human Resource Management,
HRM-335 -50 000499,Understanding and Addressing Race in the Workplace,4,HRM-Human Resource Management,Minnesota Transfer Curriculum/GELS Goals: Human Diversity (07 HUMD)
HRM-370 -50 000500,Employment Law,4,HRM-Human Resource Management,
HRM-380 -50 000501,Managing Employee Health and Safety,4,HRM-Human Resource Management,
HRM-520 -01 000503,Staffing Organizations,4,HRM-Human Resource Management,
HRM-520 -50 001142,Staffing Organizations,4,HRM-Human Resource Management,
HRM-530 -01 000524,Employee Development and Training,4,HRM-Human Resource Management,
HRM-530 -50 001169,Employee Development and Training,4,HRM-Human Resource Management,
HRM-540 -01 000541,Compensation Management,4,HRM-Human Resource Management,
HRM-540 -50 000607,Compensation Management,4,HRM-Human Resource Management,
HRM-544 -50 001171,Employee Benefits Management,4,HRM-Human Resource Management,
HSA-362 -50 000066,Human Services Administration,4,HSA-Human Services Administration,
HSA-363 -01 000067,"Program Planning, Budgeting, Proposal Writing and Funding",4,HSA-Human Services Administration,
HSA-369 -01 000068,Program Evaluation,4,HSA-Human Services Administration,
HSCD-100 -21 000069,Use of Addictive Drugs: An Introduction,3,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-200 -50 000070,Pharmacology of Addictive Drugs,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-300 -01 000071,Introduction to Substance Use Disorders,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-300 -21 001255,Introduction to Substance Use Disorders,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-300 -50 000072,Introduction to Substance Use Disorders,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-301 -50 000073,Substance Use and the Family,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-302 -01 000074,Assessment of Substance Use Disorders,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-303 -01 000075,Racial and Cultural Considerations for Alcohol and Drug Counseling,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-304 -21 000076,Substance Use and Native Americans,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-306 -01 000077,Prevention of Substance Use Problems,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-308 -21 000078,Adolescent Substance Use Disorders,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-309 -01 000079,Co-Occurring Disorders: Substance Use and Mental Health,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-320 -01 000080,Alcohol and Drug Counseling Pre-Practicum Seminar,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-320 -02 000081,Alcohol and Drug Counseling Pre-Practicum Seminar,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-353 -01 000082,Case Management for Alcohol and Drug Counseling,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-380 -01 000083,Alcohol and Drug Counseling Group Practicum I,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-380 -02 000084,Alcohol and Drug Counseling Group Practicum I,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-390 -01 000085,Alcohol and Drug Counseling Group Practicum II,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-400 -01 000087,Best Practices in Drug and Alcohol Counseling,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-450 -01 000088,Senior Seminar: Alcohol and Drug Counseling,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-580G -01 000089,Introduction to Counseling,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-590G -01 000090,Introduction to Substance Use and Co-occurring Disorders,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-600 -01 000091,"Foundations, Models and Evidence-Based Practices",2,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-603 -01 000092,Ethics and Professional Practice,2,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-610 -01 000093,Evidence-Based Group Counseling,3,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-610 -02 000094,Evidence-Based Group Counseling,3,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-611 -01 000095,Culturally Responsive and Anti-Oppressive Practice,3,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-611 -02 000096,Culturally Responsive and Anti-Oppressive Practice,3,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-631 -01 000097,Integrated Care: Treatment and Recovery Planning,2,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-631 -02 000098,Integrated Care: Treatment and Recovery Planning,2,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-635 -01 000099,Integrated Care: Advanced Practice,4,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-650 -01 000100,Evaluation and Utilization of Research,2,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-651 -21 000101,Master's Project Seminar,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-660I -01 001320,EMDR and Trauma Work Preparation Skills for Counselors,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-660I -02 001321,Underutilized Funding in Ryan White for Co-Occurring Services,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-660I -03 001322,Changing negative Stigma Surrounding MAT,2,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-660I -04 001323,The Role of Implicit Bias in African American Treatment,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-660I -05 001324,successful Discontinuation of Buprenorphine Maint Resource Risk Reduction,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-660I -06 001355,Navigating Treatment Barriers Through Technology,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-660I -07 001356,Probation Officers: What kind of Information do they have when it comes to,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-660I -08 001357,Borderline Personality Disorder and Professional Bias,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-660I -09 001358,Reducing Recidivism: What Works for Mental Health,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-660I -10 001359,HS/Alcohol &amp; Drug Counseling Student Designed Independent Studies,2,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-680 -81 000102,Practicum Preparation,0,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-681 -01 000103,Practicum I,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-682 -01 000104,Practicum II,,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-682 -02 001343,Practicum II,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCD-682 -50 001350,Practicum II,1,HSCD-Human Services/Alcohol &amp; Drug Counseling,
HSCI-301 -50 001085,Understanding the U.S. Health System,4,HSCI-Health Science,
HSCI-309 -50 000829,Global Health Issues,3,HSCI-Health Science,Minnesota Transfer Curriculum/GELS Goals: Global Perspective (08 GLOB)
HSCI-309 -51 000830,Global Health Issues,3,HSCI-Health Science,Minnesota Transfer Curriculum/GELS Goals: Global Perspective (08 GLOB)
HSCI-330 -50 001204,Holistic Health and Healing,2,HSCI-Health Science,
HSCI-648 -01 000752,Designing for Quality in Health Care,3,HSCI-Health Science,
HSDS-304 -50 000750,Introduction to Disabilities,4,HSDS-Human Services and Disability Studies,
HSDS-308 -50 000106,Aging and Disabilities,4,HSDS-Human Services and Disability Studies,
HSER-002 -81 000107,Background Check Workshop,0,HSER-Human Services,
HSER-320 -01 000108,Human Services Pre-Practicum Group Seminar,1,HSER-Human Services,
HSER-320 -02 001256,Human Services Pre-Practicum Group Seminar,1,HSER-Human Services,
HSER-331 -01 000110,Human Services Group Practicum and Seminar,4,HSER-Human Services,
HSER-346 -01 000112,Counseling and Interviewing Skills,4,HSER-Human Services,
HSER-346 -02 000113,Counseling and Interviewing Skills,4,HSER-Human Services,
HSER-346 -03 000114,Counseling and Interviewing Skills,4,HSER-Human Services,
HSER-346 -04 000115,Counseling and Interviewing Skills,5,HSER-Human Services,
HSER-348 -01 000116,Group Counseling,4,HSER-Human Services,
HSER-348 -02 000117,Group Counseling,4,HSER-Human Services,
HSER-351 -01 000118,Crisis Intervention/Caring for Trauma through the Lifecourse,4,HSER-Human Services,
HSER-352 -01 000119,Family Counseling,4,HSER-Human Services,
HSER-353 -01 000120,Human Services Case Planning and Methods,4,HSER-Human Services,
HSER-354 -21 000123,Ethical Issues in Human Services,4,HSER-Human Services,
HSER-355 -01 000124,Introduction to Human Services: History and Trends,4,HSER-Human Services,
HSER-365I -01 001282,Working with Groups,4,HSER-Human Services,
HSER-368 -01 000126,Understanding and Using Research for the Practitioner,4,HSER-Human Services,
HSER-368 -02 000127,Understanding and Using Research for the Practitioner,4,HSER-Human Services,
HSER-395 -01 000129,Intersection of Race and Diversity in Human Services,4,HSER-Human Services,
HSER-395 -50 000128,Intersection of Race and Diversity in Human Services,4,HSER-Human Services,
HSER-455 -01 000130,Human Services Capstone Seminar,4,HSER-Human Services,
HSER-455 -02 000131,Human Services Capstone Seminar,4,HSER-Human Services,
HSFS-338 -01 000132,"Family: Racial, Gender and Class Dimensions",4,HSFS-Human Services/Family Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HSFS-339 -01 000133,Issues and Actions in Family Policy,4,HSFS-Human Services/Family Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HSFS-341 -01 000134,Work and Family,4,HSFS-Human Services/Family Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD)
HSFS-343 -01 001153,The Family: A Social/Psychological Exploration,4,HSFS-Human Services/Family Studies,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HSG-374 -01 000135,Aging in America: A Personal Challenge,4,HSG-Human Services Gerontology,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HSTD-390 -01 000136,Conflict Resolution,4,HSTD-Human Services/Training &amp; Adult Dvlpmnt,
HSTD-393 -01 000137,Organizational Training and Staff Development,4,HSTD-Human Services/Training &amp; Adult Dvlpmnt,
HSVP-301 -01 000138,"Violence: Individual, Community and Global Responses",4,HSVP-Human Service Violence Prevention,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)
HSVP-308 -01 000139,Family Violence Across the Lifespan,4,HSVP-Human Service Violence Prevention,
HUM-101 -01 000853,The World of Ideas: Ancient and Medieval,4,HUM-Humanities,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
HUM-309 -50 000854,Ancient and Medieval Monsters,4,HUM-Humanities,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)
HUM-316 -01 000855,Romanticism,4,HUM-Humanities,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Global Perspective (08 GLOB)
HUM-364 -50 000856,The Harlem Renaissance,4,HUM-Humanities,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Human Diversity (07 HUMD)
HUM-364 -51 001223,The Harlem Renaissance,4,HUM-Humanities,Minnesota Transfer Curriculum/GELS Goals: Humanities/Fine Arts (06 HUMN)|Human Diversity (07 HUMD)
IBUS-311 -02 000611,International Business Environment and Operations,4,IBUS-International Business,Minnesota Transfer Curriculum/GELS Goals: Global Perspective (08 GLOB)
IBUS-311 -03 001118,International Business Environment and Operations,4,IBUS-International Business,Minnesota Transfer Curriculum/GELS Goals: Global Perspective (08 GLOB)
IBUS-312 -50 001119,International Political Economy,4,IBUS-International Business,
IBUS-350 -21 001155,Legal Aspects of International Business,4,IBUS-International Business,
IBUS-490 -21 001170,Doing Business Internationally,4,IBUS-International Business,
ICS-140 -01 000565,Computational Thinking with Programming,4,ICS-Information and Computer Sciences,
ICS-140 -02 001109,Computational Thinking with Programming: Learning Community TEAM Technology,4,ICS-Information and Computer Sciences,
ICS-140 -03 000566,Computational Thinking with Programming,4,ICS-Information and Computer Sciences,
