Sub/Nr,Title,Cr,Delivery,Instr,Schedule,Wkday,Loc,Wait List,Enrolled,Max Size,Curric ID,Supplement,CouStat,Dept,Level,FilterSubject,Bldg,GELS,Notes Export
HIST-336 -50 001208,"From Roosevelt to Reagan: American History, 1932-1980",4, LCTR (AYSN),"Lowen, Rebecca ",08/22/2020–12/13/2020 –,, ,Y,0,32,'00140962',N,C,History,Undergraduate,HIST-History,,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Human Diversity (07 HUMD),"Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class."
HIST-348 -50 001075,U.S. Legal History: A Survey,4, LCTR (AYSN),"Laughlin, Kathleen A",08/22/2020–12/13/2020 –,, ,Y,7,27,'00154330',N,O,History,Undergraduate,HIST-History,,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Ethical/Civic Resp (09 ETHI),"Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
HIST-363 -01 001076,World Environmental History,4, LCTR (SYNC),"Sitcawich, Sumiko Otsubo",08/25/2020–12/01/2020 1:00PM–4:20PM, T , ,Y,12,27,'00004156',Y,O,History,Undergraduate,HIST-History,,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI),"Note: This course has been converted to Completely Online-Synchronous.|Online Participation Required First Week of Class.|Note: This is a completely online course, not an independent study. Course has required synchronous online meetings at a time to be determined. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
HIST-383 -01 001173,Latin America History II: 1910 to Present,4, LCTR,"Moerer, Andrea K",08/25/2020–12/01/2020 6:00PM–9:20PM, T ,TBD TBA,N,0,32,'00004455',N,C,History,Undergraduate,HIST-History,TBD,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST),
HIST-391 -01 001077,The Crusades: Origins and Global Perspectives,4, LCTR (SYNC),"Church, Rebecca E",08/26/2020–12/09/2020 6:00PM–9:20PM, W ,TBD TBA,Y,14,27,'00004495',Y,O,History,Undergraduate,HIST-History,TBD,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST),"Note: Course delivery method has been converted from lecture to remote online with synchronous meetings from 6:00-9:20 p.m. Wednesdays every other week.|Online Participation Required First Week of Class.|Note: This is a completely online course, not an independent study. Course has required synchronous online meetings that require intermediate computer/Internet skills, webcam and microphone and may require remotely proctored exams. For online learning and course access information go to www.metrostate.edu/solr."
HIST-394 -01 001078,Comparative Women's History,4, LCTR (SYNC),"Sitcawich, Sumiko Otsubo",08/25/2020–12/01/2020 1:00PM–4:20PM, T , ,Y,11,27,'00002932',Y,O,History,Undergraduate,HIST-History,,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Global Perspective (08 GLOB),"Online Participation Required First Week of Class.|Note: This is a completely online course, not an independent study. Course has required synchronous online meetings at a time to be determined. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Note: This course has been converted to Completely Online-Synchronous."
HIST-401 -01 001080,Topics Proseminar,4, LCTR (SYNC),"Grant, Jeanne E",08/27/2020–12/10/2020 –, H , ,Y,12,15,'00127869',Y,O,History,Undergraduate,HIST-History,,,"Note: This course has been converted to Completely Online-Synchronous, not an independent study. Course has required synchronous online meetings that require intermediate computer/Internet skills, webcam and microphone and may require remotely proctored exams. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class.|Prerequisite: HIST 301 Historical Interpretation or registration with instructor's permission. Note: The Reformations, Fall 2020: This seminar provides students opportunities for in-depth investigation of the early modern Reformations in European history through readings on the historical and historiographical issues surrounding the Hussite Reformation of the fifteenth century and the Protestant Reformation of the sixteenth century. Students will study the origins and effects of these reformations on Europe and history and examine historians' argumentation, theories, and uses of evidence."
HRM-310 -01 000496,Human Resource Management: A Strategic Framework,4, LCTR (SYNC),"Dorr, Brian M",08/27/2020–12/10/2020 6:00PM–9:20PM, H , ,Y,14,32,'00002157',Y,O,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,,"Recommended: MGMT 310 Principles of Management or MGMT 320 Organizational Behavior. Note: HRM 310 is recommended for general management and business administration students in addition to human resource management professionals. Note: Due to pandemic, this course has been converted from a Blended/Hybrid course to a Remote Learning Instruction synchronous course. This instructor is already working hard to plan and execute a high-quality online course for you. This course has required synchronous online Zoom meetings at 6:00 pm on the following meeting dates: Aug. 27; Sept. 10, 24; Oct. 8, 22; Nov. 5, 19, Dec. 3.. In order to participate in the course, we are requesting students to have access to the following: microphone, camera and internet including access to D2L. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Accessing the course website during the first week of classes is required, no one will be admitted to this course after the first week.|Online Participation Required First Week of Class.|Note: This course has been converted to online."
HRM-310 -50 000497,Human Resource Management: A Strategic Framework,4, LCTR (AYSN),"Nguyen, Loi Anh",08/22/2020–12/13/2020 –,, ,Y,27,32,'00002157',N,O,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,,"Recommended: MGMT 310 Principles of Management or MGMT 320 Organizational Behavior. Note: HRM 310 is recommended for general management and business administration students in addition to human resource management professionals. This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. . Accessing the course website during the first week of classes is required, no one will be admitted to this course after the first week.|Online Participation Required First Week of Class."
HRM-310 -51 000498,Human Resource Management: A Strategic Framework,4, LCTR (AYSN),"Dorn, Linda J",08/22/2020–12/13/2020 –,, ,Y,32,32,'00002157',N,O,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,,"Recommended: MGMT 310 Principles of Management or MGMT 320 Organizational Behavior. Note: HRM 310 is recommended for general management and business administration students in addition to human resource management professionals. This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Accessing the course website during the first week of classes is required, no one will be admitted to this course after the first week.|Online Participation Required First Week of Class."
HRM-335 -50 000499,Understanding and Addressing Race in the Workplace,4, LCTR (AYSN),"Stello, Christina M",08/22/2020–12/13/2020 –,, ,Y,30,32,'00177493',N,O,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,Minnesota Transfer Curriculum/GELS Goals: Human Diversity (07 HUMD),"Racial Issues Graduation Requirement|NNote: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Accessing the course website during the first week of classes is required, no one will be admitted to this course after the first week.|Online Participation Required First Week of Class."
HRM-370 -50 000500,Employment Law,4, LCTR (AYSN),"Barrett, Steve P",08/22/2020–12/13/2020 –,, ,Y,23,32,'00002160',N,O,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,,"Online Participation Required First Week of Class.|Recommended: MGMT 310 Principles of Management or MGMT 320 Organizational Behavior Note: This course is recommended for general management and business administration students in addition to human resource management professionals. This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. . Accessing the course website during the first week of classes is required, no one will be admitted to this course after the first week."
HRM-380 -50 000501,Managing Employee Health and Safety,4, LCTR (AYSN),"Cedarberg, Renee SB",08/22/2020–12/13/2020 –,, ,Y,0,32,'00000487',N,C,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,,"Online Participation Required First Week of Class.|Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Accessing the course website during the first week of classes is required, no one will be admitted to this course after the first week."
HRM-520 -01 000503,Staffing Organizations,4, LCTR (AYSN),"Bialek, Tani ",08/22/2020–12/13/2020 –,, ,Y,14,32,'00002264',Y,O,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,,"Online Participation Required First Week of Class.|Recommended: MGMT 310 Principles of Management or MGMT 320 Organizational Behavior. Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Note: This course has been converted to online."
HRM-520 -50 001142,Staffing Organizations,4, LCTR (AYSN),"Nguyen, Loi Anh",08/22/2020–12/13/2020 –,, ,Y,23,32,'00002264',N,O,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,,"Online Participation Required First Week of Class.|Recommended: MGMT 310 Principles of Management or MGMT 320 Organizational Behavior. Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Accessing the course website during the first week of classes is required, no one will be admitted to this course after the first week."
HRM-530 -01 000524,Employee Development and Training,4, LCTR (AYSN),"Cedarberg, Renee SB",08/22/2020–12/13/2020 –,, ,Y,13,32,'00002265',Y,O,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,,"Online Participation Required First Week of Class.|Recommended: MGMT 310 Principles of Management or MGMT 320 Organizational Behavior. Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Note: This course has been converted to online."
HRM-530 -50 001169,Employee Development and Training,4, LCTR (AYSN),"Chaudhuri, Sanghamitra ",08/22/2020–12/13/2020 –,, ,N,21,32,'00002265',N,O,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,,"Recommended: MGMT 310 Principles of Management or MGMT 320 Organizational Behavior. Note: This course is recommended for general management and business administration students in addition to human resource management professionals. This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. . Accessing the course website during the first week of classes is required, no one will be admitted to this course after the first week.|Online Participation Required First Week of Class."
HRM-540 -01 000541,Compensation Management,4, LCTR (AYSN),"Kreyer, Richard R",08/22/2020–12/13/2020 –,, ,Y,0,32,'00002266',Y,C,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,,"Recommended: MGMT 310 Management Principles or MGMT 320 Organizational Behavior.Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class.|Note: This course has been converted to online."
HRM-540 -50 000607,Compensation Management,4, LCTR (AYSN),"McGlinchey-Morrissey, Michele K",08/22/2020–12/13/2020 –,, ,Y,18,32,'00002266',N,O,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,,"Recommended: MGMT 310 Management Principles or MGMT 320 Organizational Behavior. Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Accessing the course website during the first week of classes is required, no one will be admitted to this course after the first week.|Online Participation Required First Week of Class."
HRM-544 -50 001171,Employee Benefits Management,4, LCTR (AYSN),"Hayden, Dave F",08/22/2020–12/13/2020 –,, ,Y,22,32,'00002267',N,O,"Management, Entrepreneurship, and Human Resource Management",Undergraduate,HRM-Human Resource Management,,,Online Participation Required First Week of Class.|Recommended: MGMT 310 Management Principles or MGMT 320 Organizational Behavior and Finance 390 Principles of Finance.
HSA-362 -50 000066,Human Services Administration,4, LCTR (AYSN),"Winston, Willie ",08/22/2020–12/13/2020 –,, ,Y,16,32,'00001913',N,O,Human Services,Undergraduate,HSA-Human Services Administration,,,"Overlap: HSA 360 Health Care Management and Supervision I and HSA 362T Human Service Administration Theory Seminar. Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|** Community Engagement|Online Participation Required First Week of Class."
HSA-363 -01 000067,"Program Planning, Budgeting, Proposal Writing and Funding",4, LCTR (SYNC),"Milgrom, Marsha L",08/25/2020–12/01/2020 6:00PM–9:20PM, T , ,Y,13,32,'00186266',Y,O,Human Services,Undergraduate,HSA-Human Services Administration,,,"Online Participation Required First Week of Class.|Note: This course has been converted to Completely Online-Synchronous course, not an independent study. Course has required synchronous online weekly Zoom meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Note: This course has been converted to Completely Online-Synchronous."
HSA-369 -01 000068,Program Evaluation,4, LCTR (SYNC),"Atella, Julie K",08/26/2020–12/02/2020 1:00PM–4:20PM, W , ,Y,20,24,'00001884',Y,O,Human Services,Undergraduate,HSA-Human Services Administration,,,"** Community Engagement|Note: This course has been converted to Completely Online-Synchronous course, not an independent study. Course has required synchronous online weekly meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class.|Note: This course has been converted to Completely Online-Synchronous."
HSCD-100 -21 000069,Use of Addictive Drugs: An Introduction,3, INDS (AYSN),"Tessier, Theodore C",08/22/2020–12/13/2020 –,, ,Y,10,10,'00175812',N,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,Note: This is a completely online faculty-designed independent study. No required proctored exams. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.
HSCD-200 -50 000070,Pharmacology of Addictive Drugs,4, LCTR (AYSN),"Libby, Therissa A",08/22/2020–12/13/2020 –,, ,Y,26,32,'00170731',N,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Online Participation Required First Week of Class.|Note: Attendance at the first class meeting is mandatory unless approved beforehand by the instructor. This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
HSCD-300 -01 000071,Introduction to Substance Use Disorders,4, LCTR,"Peak, Porsche ",08/24/2020–12/07/2020 6:00PM–9:20PM,M , STPL TBA,Y,0,32,'00170757',N,C,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,STPL,,First day attendance is mandatory.|Note: Attendance at the first class meeting is mandatory unless approved beforehand by the instructor.
HSCD-300 -21 001255,Introduction to Substance Use Disorders,4, INDS (AYSN),"Jax, Karin Sonja",08/22/2020–12/13/2020 –,, ,N,7,10,'00170757',Y,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,Note: This is a completely online faculty-designed independent study. No required proctored exams. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. This course is open to Post Baccalaureate Substance Use Disorder Certificate students only. Contact Karin.jax@metrostate.edu for registration permission.|Online Participation Required First Week of Class.
HSCD-300 -50 000072,Introduction to Substance Use Disorders,4, LCTR (AYSN),"Jax, Karin Sonja",08/22/2020–12/13/2020 –,, ,Y,28,32,'00170757',N,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Note: Attendance at the first class meeting is mandatory unless approved beforehand by the instructor. This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class."
HSCD-301 -50 000073,Substance Use and the Family,4, LCTR (AYSN),"Richards, Amanda C",08/22/2020–12/13/2020 –,, ,Y,29,32,'00172837',N,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Online Participation Required First Week of Class.|Note: Attendance at the first class meeting is mandatory. Any student not attending the first day of class will automatically be dropped from the course. This course is useful for students interested in family studies. This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr."
HSCD-302 -01 000074,Assessment of Substance Use Disorders,4, LCTR (SYNC),"Bluem, Jacqueline ",08/26/2020–12/09/2020 6:00PM–9:20PM, W , ,Y,16,24,'00170758',Y,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Note: This course has been converted to Completely Online-Synchronous.|Online Participation Required First Week of Class.|Prerequisites: HSCD 200 AND HSCD 300 AND HSER 346. Note: Attendance at the first class meeting is mandatory unless approved beforehand by the instructor. This course is only open to declared Alcohol and Drug Counseling majors. If you have not yet declared your major, contact your advisor. This course has been converted to Completely Online-Synchronous course, not an independent study. Course has required synchronous online weekly meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr"
HSCD-303 -01 000075,Racial and Cultural Considerations for Alcohol and Drug Counseling,4, LCTR (SYNC),"Tessier, Theodore C",08/25/2020–12/01/2020 6:00PM–9:20PM, T , ,Y,25,27,'00189796',Y,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Note: This course has been converted to Completely Online-Synchronous.|Online Participation Required First Week of Class.|Note: Attendance at the first class meeting is mandatory unless approved beforehand by the instructor. This course has been converted to Completely Online-Synchronous course, not an independent study. Course has required synchronous online weekly meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr|Racial Issues Graduation Requirement"
HSCD-304 -21 000076,Substance Use and Native Americans,4, INDS (AYSN),"Tessier, Theodore C",08/22/2020–12/13/2020 –,, ,Y,10,10,'00170724',N,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,Note: This is a completely online faculty-designed independent study. No required proctored exams. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Racial Issues Graduation Requirement
HSCD-306 -01 000077,Prevention of Substance Use Problems,4, LCTR (SYNC),"Wobschall, Alison ",08/27/2020–12/10/2020 5:30PM–8:50PM, H , ,Y,15,27,'00170760',Y,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Note: This course has been converted to Completely Online-Synchronous.|Note: Attendance at the first class meeting is mandatory unless approved beforehand by the instructor. This course has been converted to Completely Online-Synchronous course, not an independent study. Course has required synchronous online weekly meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class."
HSCD-308 -21 000078,Adolescent Substance Use Disorders,4, INDS (AYSN),"Zimmerman, Jacob Reinhard",08/22/2020–12/13/2020 –,, ,Y,10,10,'00170723',N,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Prerequisites: Basic coursework in chemical dependency, adolescent psychology or equivalent with instructor's consent. Note: Attendance at the first class meeting is mandatory unless approved beforehand by the instructor. This is a completely online faculty-designed independent study. No required proctored exams. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|First day attendance is mandatory."
HSCD-309 -01 000079,Co-Occurring Disorders: Substance Use and Mental Health,4, LCTR (SYNC),"Zimmerman, Jacob Reinhard",08/24/2020–12/07/2020 6:00PM–9:20PM,M , ,Y,25,27,'00170761',Y,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Prerequisites: HSCD 200 AND HSCD 300. Note: Attendance at the first class meeting is mandatory unless approved beforehand by the instructor. This course is only open to declared Alcohol and Drug Counseling majors. If you have not yet declared your major, contact your advisor. This course has been converted to Completely Online-Synchronous course, not an independent study. Course has required synchronous online weekly meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class.|Note: This course has been converted to Completely Online-Synchronous."
HSCD-320 -01 000080,Alcohol and Drug Counseling Pre-Practicum Seminar,1, PRAC (SYNC),"Burgos, Elizabeth ",08/25/2020–12/01/2020 4:00PM–5:30PM, T , ,N,9,10,'00004532',Y,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Online Participation Required First Week of Class.|** Community Engagement|Note: This course has been converted to Completely Online-Synchronous.|Prerequisite: Successful completion of at least 24 credits of alcohol and drug counseling courses. Note: This is a completely online course, not an independent study. Course has required synchronous online meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Meeting dates: Aug. 25; Sept. 8, 22; Oct. 6, 20; Nov. 3, 17; Dec. 1."
HSCD-320 -02 000081,Alcohol and Drug Counseling Pre-Practicum Seminar,1, PRAC (SYNC),"Picon Ayala, Jose Ramon",08/25/2020–12/01/2020 4:00PM–5:30PM, T , ,N,9,10,'00004532',Y,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Prerequisite: Successful completion of at least 24 credits of alcohol and drug counseling courses. Note: This is a completely online course, not an independent study. Course has required synchronous online meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Meeting dates: Aug. 25; Sept. 8, 22; Oct. 6, 20; Nov. 3, 17; Dec. 1.|Note: This course has been converted to Completely Online-Synchronous.|** Community Engagement|Online Participation Required First Week of Class."
HSCD-353 -01 000082,Case Management for Alcohol and Drug Counseling,4, LCTR (SYNC),"Jacobson, Julie A",08/27/2020–12/10/2020 6:00PM–9:20PM, H , ,Y,21,24,'00147729',Y,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Note: This course has been converted to Completely Online-Synchronous, not an independent study. Course has required synchronous online meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Mandatory Synchronous Zoom meetings: Aug. 27; Sept. 17; Oct. 8, 29; Nov. 19. Option to participate every other Thursday via Zoom, as well.|Fee: $75.00 Utilization of Electronic Health Record Tool.
Prerequisites: HSCD 200 AND HSCD 300 AND HSER 346. Note: Attendance at the first class meeting is mandatory unless approved beforehand by the instructor. This course is only open to declared Alcohol and Drug Counseling majors. If you have not yet declared your major, contact your advisor.|Personal Property-Service Charge|Online Participation Required First Week of Class."
HSCD-380 -01 000083,Alcohol and Drug Counseling Group Practicum I,4, PRAC (SYNC),"Picon Ayala, Jose Ramon",08/25/2020–12/01/2020 6:00PM–9:20PM, T , ,Y,13,10,'00004385',Y,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"First day attendance is mandatory.|Note: This course has been converted to Blended/Hybrid.|Prerequisites: Successful completion of at least 32 credits of alcohol and drug counseling courses. Note: This course has been converted to Completely Online-Synchronous course, not an independent study. Course has required synchronous online meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Meeting dates: Aug. 25; Sept. 8, 22; Oct. 6, 20; Nov. 3, 17; Dec. 1.|** Community Engagement"
HSCD-380 -02 000084,Alcohol and Drug Counseling Group Practicum I,4, PRAC,"Staff, Staff ",08/25/2020–12/01/2020 6:00PM–9:20PM, T , STPL TBA,Y,0,10,'00004385',N,C,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,STPL,,"** Community Engagement|Prerequisites: Successful completion of at least 32 credits of alcohol and drug counseling courses. Meeting dates: Aug. 25; Sept. 8, 22; Oct. 6, 20; Nov. 3, 17; Dec. 1."
HSCD-390 -01 000085,Alcohol and Drug Counseling Group Practicum II,4, PRAC (SYNC),"Finn, Carmen Marissa",08/25/2020–12/01/2020 6:00PM–9:20PM, T , ,Y,13,10,'00004386',Y,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Note: This course has been converted to Completely Online-Synchronous.|Online Participation Required First Week of Class.|** Community Engagement|Co-Requisites: Students must have an alcohol and drug counseling internship which has been approved by the faculty, while taking this course. Note: This course has been converted to Completely Online-Synchronous course, not an independent study. Course has required synchronous online meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Synchronous meeting dates: Aug. 25; Sept. 8, 22; Oct. 6, 20; Nov. 3, 17; Dec. 1."
HSCD-400 -01 000087,Best Practices in Drug and Alcohol Counseling,4, LCTR (SYNC),"Crim, Derrick E",08/27/2020–12/10/2020 6:00PM–9:20PM, H , ,Y,18,18,'00003556',Y,O,Human Services,Undergraduate,HSCD-Human Services/Alcohol &amp; Drug Counseling,,,"Prerequisite: At least 24 credits of Alcohol and Drug Counseling Courses. Note: Attendance at the first class meeting is mandatory unless approved beforehand by the instructor. This course has been converted to Completely Online-Synchronous course, not an independent study. Course has required synchronous online weekly meetings. To participate in the course, students must have access to a microphone, camera, and internet. Students will have to access D2L. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Note: This course has been converted to Completely Online-Synchronous.|Online Participation Required First Week of Class."
